time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,MidLine,ImpulseMACD,ImpulseHisto,ImpulseMACDCDSignal,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1510259400,5.1155,5.15775,5.1135,5.131,5.1155,5.15775,5.1135,5.131,4.480923935135364,4.848496928340584,4.113350941930143,5.216069921545804,3.745777948724923,5.5836429147510245,3.3782049555197027,0,-0.05073950351436718,0.004236216382343727,-0.054975719896710906,43.16068447477049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510324200,5.323,5.4365,5.29275,5.4235,5.323,5.4365,5.29275,5.4235,5.384250000000001,5.384250000000001,5.384250000000001,5.384250000000001,5.384250000000001,5.384250000000001,5.384250000000001,0,0,0.03591362574786139,-0.03591362574786139,70.8167101429883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510327800,5.42475,5.44325,5.40525,5.4115,5.42475,5.44325,5.40525,5.4115,5.393156957948261,5.408619488361012,5.377694427535511,5.424082018773762,5.3622318971227605,5.439544549186513,5.34676936671001,0,0.0007713080847002729,0.017427373227922576,-0.016656065143222303,69.32638998711383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510331400,5.41,5.466,5.406,5.45275,5.41,5.466,5.406,5.45275,5.401670691682084,5.424840965618944,5.378500417745225,5.448011239555803,5.355330143808366,5.471181513492662,5.332159869871506,0,0.03898641807470504,0.025733842688236606,0.013252575386468438,71.54333641062422,NaN,NaN,NaN,NaN,71.54333641062422,71.54333641062422,71.54333641062422,NaN
1510335000,5.45175,5.452,5.4115,5.4305,5.45175,5.452,5.4115,5.4305,5.404863854583709,5.428603908748957,5.381123800418462,5.452343962914204,5.357383746253214,5.476084017079452,5.333643692087967,0,0.06593158951961353,0.03070181762660725,0.03522977189300628,68.66070375334846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510338600,5.432,5.45,5.41075,5.433,5.432,5.45,5.41075,5.433,5.406916558707113,5.430784846434931,5.3830482709792955,5.454653134162749,5.359179983251478,5.478521421890567,5.33531169552366,0,0.08555331339064409,0.0220628730623232,0.0634904403283209,68.81275563286167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510342200,5.4325,5.435,5.41325,5.418,5.4325,5.435,5.41325,5.418,5.407928127294303,5.431295145293381,5.384561109295225,5.4546621632924595,5.361194091296147,5.478029181291538,5.337827073297069,0,0.09796255882206584,0.01481340491129135,0.08314915391077449,66.72104629610948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510345800,5.4185,5.4185,5.3805,5.40175,5.4185,5.4185,5.3805,5.40175,5.407159438813858,5.429445414349357,5.3848734632783595,5.451731389884856,5.362587487742861,5.474017365420354,5.340301512207362,0,0.10168205910839845,0.006616082001362322,0.09506597710703613,64.43593524149927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510583400,5.40275,5.42925,5.35025,5.35225,5.40275,5.42925,5.35025,5.35225,5.402386598626466,5.425568093710494,5.3792051035424375,5.448749588794522,5.356023608458409,5.47193108387855,5.332842113374381,0,0.09636894954781194,-0.002302239611613466,0.09867118915942541,57.92764579787134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510587000,5.35225,5.3605,5.3115,5.3435,5.35225,5.3605,5.3115,5.3435,5.39723653251079,5.425459909206044,5.369013155815535,5.453683285901298,5.340789779120281,5.481906662596552,5.312566402425027,0,0.08552860068585222,-0.008997935761501985,0.0945265364473542,56.834845156294456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
